REGISTRO;F_1;F_2_COD_1;F_3;F_4;F_5;F_6;F_7;P1_1;P1_2;P1_3;P1_4;P1_5;P1_6;P1_7;P1_8;P1_9;P1_10;P1_11;P1_12;P1_13;P1_14;P1_15;P1_16;P1_17;P1_18;P1_19;P1_20;P1_21;P1_22;P1_23;P1_24;P1_25;P1_26;P1_27;P1_28;P1_29;P1_98O;P1_98;P2_1;P2_02;P2_3;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9;P2_10;P2_11;P2_12;P2_13;P2_14;P2_98O;P2_98;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P5_4;P5_5;P5_6;P5_7;P5_8;P5_9;P5_10;P5_11;P5_12;P5_13;P5_14;P5_15;P5_16;P5_98O;P5_98;P6;P7;P8_1;P8_2;P8_3;P8_4;P8_5;P8_6;P8_7;P8_8;P8_9;P8_10;P8_11;P8_12;P8_13;P8_14;P8_15;P8_16;P8_17;P8_18;P8_19;P8_20;P8_21;P9_COD_1;P9_COD_2;P9_COD_3;P9_COD_4;P10;P11A;P11_1;P11_2;P11_3;P11_4;P11_5;P11_6;P11_7;P11_8;P12;P13;P14_COD_1;P14_COD_2;P14_COD_3;P15_1;P15_2;P15_3;P16_1;P16_2;P16_3;P16_4;P17;P18;P19_1;P19_2;P19_3;P19_4;P19_5;P20;P21_1;P21_2;P21_3;P22;P23_1;P23_2;P24;P25;P26;P27_1;P27_2;P27_3;P28_COD_1;P28_COD_2;P28_COD_3;P29;P30;P31_1;P31_2;P31_3;P31_4;P32_1;P32_2;P32_3;P32_4;P32_5;P32_6;P32_7;P32_8;P32_9;P33;P34;P35;P36;P37;P38_1;P38_2;P39;P40_1;P40_2;P40_3;P41_COD_1;P41_COD_2;P42;P43;P44;FACTOR
414;1;62;1;1; ;6;2;5;1;4;4;5;3;0;3;3;2;1;5;3;5;4;5;4;1;3;3;3;4;3;4;5;2;4;5;3; ; ;3;3;1;5;2;5;1;2;4;4;4;4;2;2; ; ;1;2;2;2;4;3;3;4;3;2;4;5;4;5;4;3;5;5;3;4;4; ; ;5;1;4;5;3;4;4;2;4;3;4;4;3;4;1;3;3;3;3;4;3;2;4;25; ; ; ;1;3; ; ; ; ; ; ; ; ;5;2;19; ; ;2;2;1;1; ; ; ; ;8;5; ; ; ; ;3;5;2; ;1;2;1999;2; ;2003; ; ; ; ; ; ;1;1;2; ; ; ;3;1;5;1;3;3;4;3;2;1;1;1;7;5; ; ;5; ; ; ;101; ;1;7;6;,439604933986956
419;1;54;4;1;1;6;2;1;1;5;5;5;1;0;5;1;1;1;5;5;5;5;1;5;1;1;5;1;1;1;1;1;1;1;5;1; ; ;5;1;1;5;1;1;1;3;1;5;1;5;1;5; ; ;2;2;2;2; ;5;5;5;5;3;5;5;5;1;5;1;1;1;1;1;5; ; ;5;1;1;5;5;5;3;3;5;5;5;5;3;3;3;5;5;3;5;5;5;3;5;18;22; ; ;1;99; ; ; ; ; ; ; ; ;3;3;2; ; ;5;5;3;99; ; ; ;1;5;5; ; ; ; ;3;2; ; ;1;1;1989;2; ;1995; ; ; ; ; ; ;3;3;0; ; ; ;1;1;3;1;5;1;5;3;4;1;1;2;99;5; ; ;5; ; ; ;106; ;1;7;7;,439604933986956
422;1;13;1;5; ;2; ;5;4;5;5;4;3;2;4;5;4;4;3;1;2;1;5;5;5;5;5;5;3;3;4;2;4;2;4;3; ; ;4;5;5;4;2;3;2;5;4;4;2;4;3;3; ; ;1;2;2;2;2;2;2;4;2;3;2;3;2;3;3;4;1;3;1;4;4; ; ;3;3;3;3;3;4;3;2;2;2;3;3;4;3;3;4;4;3;3;3;4;3;1;24; ; ; ;1;3;1; ; ; ; ; ; ; ;3;2;99; ; ;4;5;5;99; ; ; ;2; ; ; ; ; ; ;3;2;5; ;2;9;2009;2; ;2013; ; ; ; ; ; ;2;1;5;30; ; ;3;4;5;4;5;5;3;3;3;3;1;6;11; ; ; ; ; ; ; ; ; ; ; ; ;,72100993449308
424;1;70;2;1;1;5;1;1;1;5;5;5;1;1;5;3;2;1;5;4;4;4;4;5;4;1;4;3;2;3;4;4;3;3;4;4; ; ;5;1;1;5;1;3;1;5;4;4;4;4;2;4; ; ;1;2;2;2;3;4;4;5;4;4;4;3;3;4;3;3;3;4;3;3;5; ; ;4;1;5;5;5;4;4;3;4;3;4;5;4;4;3;4;4;5;4;4;5;3;4;31; ; ; ;1;1;12;24; ; ; ; ; ; ;2;1;6; ; ;4;4;4;1; ; ; ; ;8;1; ; ; ; ;3;5;2; ;1;2;2004;1;12;2012; ; ; ; ; ; ;3;1;29; ; ; ;3;3;5;2;5;2;4;3;2;3;1;3;7;5; ; ;5; ; ; ;124; ;4;1;7;,72100993449308
425;1;28;2;1;1;6;1;5;5;5;5;5;1;0;5;5;2;1;3;3;3;3;1;5;3;3;5;1;5;1;4;3;3;3;5;3; ; ;4;5;5;5;3;5;5;3;5;5;5;3;4;3; ; ;1;2;2;1;4;4;5;5;2;3;3;4;3;1;4;3;2;1;3;4;3; ; ;4;2;5;3;5;3;4;4;3;3;4;5;4;5;1;3;4;5;5;5;4;1;4;28; ; ; ;1;99; ; ; ; ; ; ; ; ;3;5;10; ; ;3;4;4;1; ; ; ; ;99;5; ; ; ; ;2;1;2; ;1;3;1983;1;20;1991; ; ; ; ; ; ;1;1;4;21; ; ;5;1;5;5;5;4;4;5;4;1;1;3;7;4;3; ;3;3; ; ;1; ;1;7;4;,888030888030888
426;1;57;2;3;5;5;2;4;3;4;4;4;4;1;4;4;4;5;3;5;3;4;4;5;5;4;4;4;2;4;4;4;4;4;4;3; ; ;4;3;2;4;0;2;4;4;4;4;4;5;3;4; ; ;1;2;2;2;4;4;4;3;4;4;4;3;3;3;4;4;1;4;3;3;5; ; ;4;1;5;4;5;3;4;4;5;5;5;5;5;4;4;5;4;5;4;5;5;4;4;3;24;34; ;1;99; ; ; ; ; ; ; ; ;4;4;12; ; ;3;4;4;99;14; ; ;1;3;14; ; ; ; ;3;5;2; ;1;3;1995;2; ;2000; ; ; ; ; ; ;3;1;3; ; ; ;3;3;1;1;1;3;5;4;4;1;2; ; ;5; ; ;4;1; ; ;11; ;4;1;6;,439604933986956
436;1;5;1;5; ;4;1;5;5;5;5;5;5;0;5;5;5;5;4;1;5;5;5;5;5;5;5;1;5;5;4;4;5;5;5;5; ; ;5;3;5;5;5;5;5;5;4;5;3;5;5;5; ; ;1;2;2;2;5;4;4;5;5;5;1;5;4;5;5;5;5;5;5;4;4; ; ;5;1;5;1;5;5;5;5;4;1;5;5;5;5;5;5;5;5;4;3;1;4;4;18; ; ; ;1;99; ; ; ; ; ; ; ; ;5;5;11; ; ;5;5;5;1;25; ; ; ;10;5;7; ; ; ;2;1; ; ;1;9;2012;2; ;2016; ; ; ; ; ; ;3;3;2; ; ; ;5;5;5;3;5;3;5;5;5;1;1;1;24;5; ; ;4;3; ; ;10; ;1;6;1;,439604933986956
439;1;38;4;1;1;4;2;5;1;5;5;5;5;1;5;5;3;1;5;5;5;5;5;5;5;5;5;5;1;5;5;5;3;4;5;3; ; ;5;1;1;4;1;1;1;5;4;5;3;5;3;5; ; ;1;2;2;2;4;5;5;5;4;5;5;5;5;5;4;3;1;5;1;4;5; ; ;5;3;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;2;5;13; ; ; ;1;1;4; ; ; ; ; ; ; ;5;1;6; ; ;4;4;4;1; ; ; ; ;8;5;21; ; ; ;3;5;2; ;1;3;2005;2; ;2014; ; ; ; ; ; ;1;1;2;3;30; ;5;5;5;5;5;5;5;5;3;3;1;1;7;5; ; ;5; ; ; ;62; ;3;2;5;,72100993449308
442;1;57;1;5; ;5;2;5;3;4;1;4;1;1;5;5;5;1;1;1;4;3;4;4;5;1;5;4;4;1;3;4;4;1;3;1; ; ;5;5;1;5;1;1;1;3;5;5;5;5;1;4; ; ;2;2;2;1; ;4;4;4;4;5;3;5;5;5;5;3;5;5;3;5;5; ; ;5;1;4;1;3;5;5;1;1;3;5;5;5;5;3;2;5;5;5;5;5;3;5;35; ; ; ;1;99; ; ; ; ; ; ; ; ;5;3;2; ; ;5;4;4;2; ; ; ;1;4;5; ; ; ; ;2;2;1;5;1;1;2008;1;4;2013; ; ; ; ; ; ;3;1;21; ; ; ;4;1;5;3;3;5;4;3;2;1;2; ; ;5; ; ;4;99; ; ;62; ;3;1;5;,439604933986956
445;1;53;1;5; ;5;1;4;1;4;3;4;1;1;5;5;1;1;3;1;3;3;3;1;2;3;4;5;3;2;3;2;3;1;4;1;42;4;4;1;1;4;1;2;1;3;3;3;1;4;3;4; ; ;2;2;2;2; ;4;4;3;3;4;2;3;4;5;5;3;5;4;3;3;4; ; ;4;3;5;3;5;2;5;2;3;2;4;4;5;5;1;2;3;5;3;3;4;3;4;25; ; ; ;1;5;9;3;1; ; ; ; ; ;3;5;8; ; ;4;4;3;3; ; ; ;1;4;5; ; ; ; ;2;5;1;4;3;99;2000;1;12;2010; ; ; ; ; ; ;1;1;30; ; ; ;4;1;5;4;4;4;5;4;3;1;2; ; ;5; ; ;4;11; ; ;100; ;4;4;5;,439604933986956
450;1;85;4;3;8;5;2;5;2;3;4;5;3;1;5;4;4;3;4;5;4;5;2;5;5;5;1;1;4;1;4;5;4;5;5;1; ; ;5;4;4;5;2;4;5;5;5;4;3;3;4;5; ; ;1;2;2;1;3;3;3;4;4;4;4;4;4;4;4;5;4;4;5;4;4; ; ;4;3;3;4;5;5;4;3;4;4;5;5;5;4;3;3;4;5;5;5;3;3;4;27; ; ; ;1;99; ; ; ; ; ; ; ; ;4;3;6;10; ;3;4;4;1; ; ; ; ;4;22; ; ; ; ;2;5;1; ;1;3;2002;2; ;2007; ; ; ; ; ; ;3;3;2;3; ; ;4;1;3;1;4;2;4;2;3;2;1;4;12;5; ; ;4;4; ; ;133; ;2;1;3;,72100993449308
454;1;38;2;21;21;5;2;5;3;3;3;3;5;5;3;5;5;1;1;1;1;1;5;5;1;5;3;5;1;1;3;3;5;5;3;1; ; ;3;5;1;5;3;1;3;5;3;5;5;5;5;3; ; ;1;2;2;2;5;5;3;3;3;3;1;1;1;5;5;5;5;5;5;5;3; ; ;5;1;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;7; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;6; ; ; ; ;1;1; ; ;1;9;2008;2; ;2015;6; ; ;4; ; ;1;1;2; ; ; ;3;3;5;3;5;3;3;5;5;2;1;1;21;5; ; ;5; ; ; ;158; ;4;2;4;,72100993449308
456;1;53;2;5;5;5;2;1;1;1;1;1;1;0;1;1;1;3;1;1;1;1;1;4;5;5;1;1;1;1;1;1;1;1;1;1;34;5;4;5;5;5;1;1;1;5;1;4;1;1;1;3; ; ;2;2;2;2; ;4;5;5;5;5;3;5;3;5;5;5;5;5;4;5;5; ; ;5;3;5;1;5;5;5;5;3;2;5;5;4;5;5;1;1;3;3;1;5;3;5;7; ; ; ;1;99; ; ; ; ; ; ; ; ;5;5;12; ; ;5;4;4;99; ; ; ;1;99;99; ; ; ; ;1;6;5;1;2;7;2001;2; ;2015; ; ; ; ; ; ;1;1;0; ; ; ;5;5;5;5;5;5;3;5;5;1;2; ; ;5; ; ;4;31; ; ;100; ;4;2;5;,439604933986956
457;1;57;1;5; ;5;1;5;1;5;4;5;1;1;5;5;4;3;4;1;4;4;3;3;2;1;5;1;3;1;4;2;4;3;4;3; ; ;5;4;4;4;1;3;1;3;5;4;4;5;3;4; ; ;1;2;2;2;4;5;5;4;4;4;1;4;5;3;5;4;4;3;3;5;4; ; ;5;1;4;3;5;4;4;3;5;2;5;5;4;4;3;2;4;4;3;4;3;3;4;13; ; ; ;1;1; ; ; ; ; ; ; ; ;3;4;7;18; ;4;4;3;1; ; ; ; ;8;5;22; ; ; ;3;2; ; ;1;3;2003;2; ;2010; ; ; ; ; ; ;1;1;5;2;35;36;5;3;4;3;5;3;4;5;3;1;1;2;1;4;4; ;4;8; ; ;1; ;3;1;5;,439604933986956
458;1;36;4;34;8;3; ;2;3;3;2;3;2;5;3;4;5;5;3;3;4;3;1;3;2;4;3;5;4;2;3;5;4;3;3;3; ; ;3;2;5;4;3;3;5;3;3;3;3;3;4;3; ; ;1;2;2;2;3;2;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3; ; ;3;2;3;3;5;5;5;3;5;5;5;5;5;5;3;3;5;4;5;5;5;5;5;24; ; ; ;1;3; ; ; ; ; ; ; ; ;2;5;1; ; ;4;4;4;99; ; ; ;2; ; ; ; ; ; ;3;16; ; ;1;1;2008;1;8;2013;18; ; ;15; ; ;3;3;29; ; ; ;5;4;5;3;5;3;3;3;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1,67165560423987
460;1;70;3;1;1;5;2;3;1;3;3;3;1;0;5;1;2;1;3;4;3;2;1;4;4;1;3;1;4;1;3;1;2;3;2;1; ; ;2;2;1;3;1;3;2;4;2;3;2;2;3;2; ; ;1;2;2;2;3;3;4;2;3;2;4;3;4;4;3;3;4;4;4;5;4; ; ;4;3;5;4;4;4;3;4;5;4;5;4;4;4;3;5;4;4;3;4;5;3;4;13;24; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;3;15; ; ;1;2;1991;2; ;2013; ; ; ; ; ; ;3;1;41; ; ; ;4;2;4;3;5;5;3;2;5;3;1;2;7;5; ; ;4;5;3; ;124; ;4;1;9;,72100993449308
461;1;84;1;29; ;2; ;4;4;4;3;4;4;3;0;3;4;3;3;2;3;3;4;4;3;4;4;3;3;3;3;3;3;4;4;3; ; ;4;4;2;4;4;3;3;5;4;3;4;4;2;5; ; ;1;2;2;2;4;4;4;3;3;4;3;3;3;4;4;3;4;4;4;3;4; ; ;4;1;3;3;5;4;4;3;5;4;5;4;5;4;4;2;4;5;5;5;4;4;5;18;24; ; ;1;99; ; ; ; ; ; ; ; ;4;3;9; ; ;4;4;3;1; ; ; ; ;8;7; ; ; ; ;3;2; ; ;1;1;2011;1;4;2015;5; ; ;13; ; ;3;3;2; ; ; ;4;2;4;1;3;4;4;2;3;3;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;,888030888030888
462;1;73;3;1;1;6;1;5;1;5;5;5;1;1;5;1;1;1;5;5;5;5;5;3;5;3;5;1;1;5;5;5;3;5;5;1; ; ;5;1;1;5;1;1;1;5;4;1;5;5;1;5; ; ;2;2;2;2; ;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;5; ; ;5;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;35; ; ; ;1;1; ; ; ; ; ; ; ; ;4;3;6; ; ;4;3;3;99; ; ; ;1;3;5; ; ; ; ;3;3;2; ;3;2;1993;2; ;9999; ; ; ; ; ; ;1;1;0; ; ; ;1;1;3;1;5;4;5;5;4;1;2; ; ;5; ; ;5; ; ; ;129; ;2;7;99;,72100993449308
465;1;57;1;34; ;5;1;5;1;5;3;3;5;3;5;5;5;1;5;5;3;3;5;5;1;5;5;5;3;1;3;5;5;5;5;3; ; ;5;5;1;5;1;3;1;5;5;5;5;5;5;5; ; ;1;2;2;2;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5; ; ;5;1;5;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;35; ; ; ;1;1;3;6;5; ; ; ; ; ;5;5;25; ; ;3;3;3;99; ; ; ;2; ; ; ; ; ; ;1;1; ; ;1;1;2010;2; ;2015;4; ; ;99; ; ;1;1;2; ; ; ;3;1;4;1;4;3;4;3;4;1;2; ; ;5; ; ;5; ; ; ;158; ;4;5;6;,439604933986956
467;1;59;2;9;9;5;2;1;1;5;5;5;5;0;5;5;1;1;4;1;3;5;2;5;3;2;1;2;1;1;5;2;2;4;5;1; ; ;5;1;1;5;1;1;1;4;5;4;1;4;1;5; ; ;2;2;2;2; ;5;5;5;4;5;3;4;5;5;5;4;4;5;1;1;5; ; ;4;1;1;5;5;3;4;3;5;4;5;5;4;5;1;3;4;5;3;5;3;3;5;35; ; ; ;1;99; ; ; ; ; ; ; ; ;5;1;11; ; ;5;4;4;99; ; ; ;2; ; ; ; ; ; ;3;2; ; ;3;2;1988;2; ;1992; ; ; ; ; ; ;1;1;3; ; ; ;5;3;4;4;3;4;4;5;2;1;2; ; ;5; ; ;4;15; ; ;105; ;4;4;3;,439604933986956
470;1;28;2;28;28;5;2;5;1;5;4;4;5;5;0;5;5;1;5;3;5;5;5;5;2;5;5;5;5;1;4;1;4;5;3;4; ; ;4;5;1;4;1;5;1;5;5;5;4;5;5;3; ; ;1;2;2;2;5;5;5;5;5;3;3;5;5;5;5;4;5;5;5;5;5; ; ;5;1;5;1;4;4;4;4;5;3;5;5;3;3;5;1;1;3;3;3;5;5;4;34; ; ; ;1;99; ; ; ; ; ; ; ; ;5;5;5; ; ;5;5;4;2; ; ; ;2; ; ; ; ; ; ;1;1;4; ;2;1;2008;2; ;2011;7; ; ;15; ; ;3;3;5;2; ; ;5;3;5;4;5;5;5;3;5;1;2; ; ;5; ; ;5; ; ; ;1; ;4;1;7;,888030888030888
471;1;4;2;37;37;5;2;1;5;4;5;5;4;5;1;5;5;1;5;5;1;3;5;5;1;5;5;4;1;1;4;5;5;5;5;5; ; ;5;5;1;5;1;1;4;5;1;5;1;5;5;5; ; ;1;1;2;2;5;5;5;5;4;5;5;3;3;5;5;5;5;5;5;5;5; ; ;5;1;3;3;4;5;5;4;4;4;5;4;4;5;5;5;3;4;4;5;5;5;5;24; ; ; ;1;99; ; ; ; ; ; ; ; ;5;4;15; ; ;3;4;4;99; ; ; ;2; ; ; ; ; ; ;1;1;3; ;1;9;2009;2; ;2014;4; ; ;4;7; ;3;4;16; ; ; ;1;3;1;3;1;3;3;4;4;1;2; ; ;5; ; ;5; ; ; ;160; ;3;1;4;,439604933986956
472;1;53;2;5;5;5;2;5;4;4;4;5;3;2;5;5;5;1;5;5;4;4;4;5;4;5;4;4;2;3;5;4;5;5;5;4; ; ;5;3;2;5;2;1;1;3;4;5;4;4;2;5; ; ;1;2;1;2;4;4;4;3;3;4;3;3;3;3;4;3;5;3;3;4;5; ; ;4;1;4;4;5;5;5;3;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;24; ; ; ;1;1; ; ; ; ; ; ; ; ;4;2;5; ; ;5;5;4;1;26; ; ; ;9;5;23; ; ; ;1;1; ; ;1;8;2005;2; ;2015; ; ; ; ; ; ;3;1;2;29; ; ;4;2;3;2;5;4;5;3;5;2;2; ; ;5; ; ;4;3; ; ;136; ;2;2;4;,439604933986956
477;1;3;2;2;2;5;1;5;4;5;4;5;1;4;1;5;5;3;4;3;5;4;1;2;1;5;4;5;2;3;5;2;5;3;4;2; ; ;4;4;2;4;2;1;1;2;2;3;2;4;2;4; ; ;1;2;2;2;3;5;5;4;4;4;1;5;4;2;5;5;2;3;3;4;5; ; ;5;1;5;2;5;5;5;5;5;3;4;4;5;3;3;1;2;5;3;3;5;4;5;7; ; ; ;1;99; ; ; ; ; ; ; ; ;5;1;5; ; ;3;2;1;2; ; ; ;1;1;5;11; ; ; ;1;1; ; ;1;9;2003;2; ;2012;5; ; ;13; ; ;3;3;2;30; ; ;3;1;3;1;4;4;3;4;3;1;1;5;7;5; ; ;5; ; ; ;82; ;2;5;8;1,2796986392492
480;1;3;2;7;7;5;2;4;5;3;4;4;1;4;0;5;4;5;4;3;4;3;4;3;1;5;3;1;4;1;3;1;4;4;3;2;54;4;4;4;5;4;3;2;1;3;4;4;4;4;2;4;22;5;1;2;2;2;4;3;3;4;4;4;4;4;4;3;5;5;4;3;3;4;4; ; ;4;3;4;3;4;3;3;3;4;4;5;3;4;3;3;1;3;5;3;5;5;3;5;34; ; ; ;1;7;2;1;3;7; ; ; ; ;4;3;6; ; ;4;4;3;1; ; ; ; ;4;5;6; ; ; ;1;1;2; ;1;5;2011;1;4;2016;5; ; ;4;15; ;1;3;30; ; ; ;4;4;5;4;4;4;4;4;3;2;1;5;1;4;1; ;4;9; ; ;18; ;2;4;2;1,2796986392492
483;1;84;2;2;2;2; ;5;5;4;4;4;1;5;0;2;5;4;5;3;3;1;5;1;2;3;5;1;1;5;3;1;1;5;5;4; ; ;4;5;1;5;5;4;3;5;5;3;3;4;4;5; ; ;1;2;2;2;3;4;4;4;4;5;5;2;5;5;2;2;5;5;3;5;4; ; ;4;1;4;5;5;5;4;1;5;5;5;5;5;5;3;4;3;5;5;5;5;4;5;35; ; ; ;1;99; ; ; ; ; ; ; ; ;4;4;6; ; ;4;5;4;1; ; ; ; ;10;5;7; ; ; ;3;2; ; ;1;5;2011;2; ;2015;7; ; ;9; ; ;3;3;2;30; ; ;1;1;5;1;4;4;5;2;3;3;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;,72100993449308
487;1;34;1;5; ;5;1;3;3;5;5;5;5;0;5;5;5;1;3;3;5;5;5;5;5;5;5;1;3;3;5;3;5;5;3;3; ; ;5;5;3;5;3;3;1;5;5;3;5;5;5;3; ; ;1;2;2;2;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5; ; ;5;1;5;5;5;5;5;5;3;3;5;5;5;5;3;3;3;5;5;5;5;5;5;34; ; ; ;1;99; ; ; ; ; ; ; ; ;5;5;1; ; ;5;5;5;1; ; ; ; ;10;5; ; ; ; ;3;5; ; ;1;1;2010;2; ;2016; ; ; ; ; ; ;1;1;6;20; ; ;3;1;1;1;1;3;5;5;3;3;1;2;21;5; ; ;5; ; ; ;62; ;2;4;2;1,67165560423987
488;1;60;2;7;7;5;1;5;1;5;5;5;1;5;0;5;5;1;5;5;1;5;5;1;1;4;5;5;2;5;5;3;5;5;5;4; ; ;5;3;1;5;1;2;1;5;3;5;4;5;4;5;27;5;2;2;2;2; ;3;3;5;4;2;5;3;3;5;3;4;5;5;4;5;5; ; ;4;1;5;4;5;5;5;4;5;5;5;5;5;5;2;2;5;5;5;5;5;3;5;13; ; ; ;1;19;7;10; ; ; ; ; ; ;3;3;6; ; ;3;3;3;99; ; ; ;2; ; ; ; ; ; ;2;1; ; ;1;1;2007;1;4;2015;1; ; ;4; ; ;3;3;5;2; ; ;5;1;4;3;3;5;5;5;3;2;1;4;1;5; ; ;5; ; ; ;62; ;4;1;5;,439604933986956
490;1;38;2;21;21;5;2;1;1;5;1;2;1;5;0;1;1;1;5;5;5;4;1;1;5;1;3;1;5;5;5;3;5;1;4;3; ; ;1;1;1;5;1;1;1;5;1;1;1;1;3;1; ; ;1;2;2;2;3;5;1;4;3;4;5;5;5;1;1;5;1;1;1;1;5; ; ;5;1;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;1; ; ; ;1;21; ; ; ; ; ; ; ; ;1;5;19; ; ;5;5;1;2; ; ; ;2; ; ; ; ; ; ;2;2; ; ;1;1;9999;2; ;2015;6; ; ;99; ; ;3;3;2;29; ; ;5;1;5;1;5;4;5;5;5;1;1;1;7;3;1; ;4;8; ; ;75; ;1;7;2;,72100993449308
491;1;54;2;9;9;5;2;5;2;4;3;5;2;0;5;4;2;1;2;5;5;4;3;4;4;4;4;3;5;3;5;3;3;2;4;3; ; ;4;4;2;4;1;4;1;4;4;4;3;4;3;3; ; ;1;2;2;1;4;3;4;4;2;3;3;3;4;3;2;2;3;3;3;3;4; ; ;4;1;1;2;4;3;4;2;3;5;5;5;5;5;2;2;4;4;5;3;1;1;4;18; ; ; ;1;9; ; ; ; ; ; ; ; ;5;1;19; ; ;1;1;1;99; ; ; ;1;5;5; ; ; ; ;3;3; ; ;1;2;2009;2; ;2014; ; ; ; ; ; ;1;1;2;5;30; ;3;1;4;1;4;4;4;3;1;3;1;3;1;3;4; ;4;16; ; ;102; ;1;4;4;,439604933986956
492;1;57;2;9;9;5;1;1;1;4;4;5;5;0;5;1;2;1;3;2;4;5;1;4;1;3;1;1;5;3;5;1;2;2;5;1; ; ;5;3;1;5;1;5;1;3;5;5;5;5;1;5; ; ;1;2;2;2;4;4;4;5;3;5;5;5;4;2;5;2;3;3;1;4;5; ; ;5;1;1;4;5;5;5;2;4;4;5;5;5;5;2;2;5;5;5;5;4;3;5;24; ; ; ;1;99; ; ; ; ; ; ; ; ;5;3;6; ; ;3;5;5;99; ; ; ;1;8;5; ; ; ; ;2;1; ; ;3;2;2009;2; ;2015; ; ; ; ; ; ;1;3;1; ; ; ;5;2;5;4;5;5;5;4;3;1;2; ; ;3;1; ;5; ; ; ;56; ;4;5;5;,439604933986956
495;1;59;2;9;9;5;2;5;4;4;5;5;4;0;5;4;3;4;5;5;5;3;4;5;4;4;4;5;5;4;5;4;4;4;5;4; ; ;5;5;3;5;1;5;1;4;5;4;4;4;4;5; ; ;2;2;2;2; ;4;5;4;4;5;5;5;4;5;4;4;4;5;4;4;5; ; ;5;1;5;5;5;5;4;5;5;5;5;5;4;4;4;4;5;5;4;4;5;4;4;14; ; ; ;1;1;7;4; ; ; ; ; ; ;4;3;19; ; ;5;4;4;1; ; ; ; ;7;5;6;7; ; ;2;5; ; ;1;2;2009;2; ;2014; ; ; ; ; ; ;1;1;2;1; ; ;4;3;5;3;4;4;5;4;4;1;2; ; ;4;4; ;5; ; ; ;154; ;3;4;5;,439604933986956
497;1;54;2;9;9;5;2;1;1;4;4;5;1;0;5;1;3;3;3;1;3;3;4;4;5;3;3;5;5;5;4;1;3;2;3;1; ; ;5;3;1;5;1;4;5;4;3;4;1;4;2;2; ; ;2;2;2;2; ;4;3;3;2;3;4;3;3;3;3;2;4;3;4;4;4; ; ;4;1;4;1;4;4;2;3;3;3;4;3;4;4;3;3;4;4;4;4;5;3;3;1;18; ; ;1;9;1;2; ; ; ; ; ; ;4;3;6; ; ;3;3;4;1;27; ; ; ;3;5;6;7; ; ;2;5;1; ;1;2;2009;2; ;2014; ; ; ; ; ; ;1;1;30; ; ; ;3;2;3;2;4;4;5;4;3;1;2; ; ;5; ; ;4;13; ; ;102; ;3;4;99;,439604933986956
499;1;57;1;9; ;5;1;3;3;4;4;5;1;0;5;1;3;1;2;1;1;2;2;3;3;2;3;3;4;2;5;1;1;1;4;1; ; ;5;1;1;5;1;4;1;1;5;4;4;5;1;4; ; ;1;2;2;2;4;4;4;4;3;5;2;1;2;2;2;2;4;1;2;5;5; ; ;5;1;1;4;5;2;5;3;3;3;3;3;4;3;1;4;4;5;3;5;4;1;4;7;13;25; ;1;9; ; ; ; ; ; ; ; ;4;1;18; ; ;1;4;3;1; ; ; ; ;6;5; ; ; ; ;3;2;5; ;4;2;2009;2; ;2012; ; ; ; ; ; ;1;1;2;5; ; ;4;1;4;3;5;1;3;4;2;1;1;1;10;4;4; ;4;8; ; ;118; ;3;4;6;,439604933986956
500;1;59;2;9;9;5;1;5;3;4;5;5;5;0;5;5;1;1;3;3;1;3;3;4;4;4;3;5;4;4;4;5;3;3;5;3; ; ;5;2;1;4;3;3;1;3;3;3;4;4;3;4; ; ;2;2;2;2; ;4;4;5;5;4;5;5;5;5;5;5;5;5;4;5;4; ; ;5;1;5;5;5;5;4;4;5;5;5;5;5;5;4;5;5;5;5;4;5;4;5;35; ; ; ;1;9; ; ; ; ; ; ; ; ;4;3;2; ; ;4;5;5;99; ; ; ;1;1;5; ; ; ; ;3;5; ; ;1;2;2009;2; ;2014; ; ; ; ; ; ;4;1;2;4;30; ;3;4;4;4;5;4;4;4;3;3;1;2;1;4;4; ;3;5; ; ;107; ;2;4;4;,439604933986956
